I (296651) gaga.wake: [A],295828,1.078,0.078,0.018,0.028,1.077,0.188,1.156,-0.625
I (296662) gaga.wake: [A],295839,1.080,0.080,0.021,0.026,1.080,0.469,1.406,-0.062
I (296673) gaga.wake: [A],295850,1.080,0.080,0.021,0.029,1.079,0.531,1.469,-0.438
I (296684) gaga.wake: [A],295861,1.078,0.078,0.020,0.027,1.078,0.250,1.531,0.094
I (296695) gaga.wake: [A],295872,1.081,0.081,0.020,0.026,1.080,0.375,1.500,0.094
I (296706) gaga.wake: [A],295883,1.076,0.076,0.019,0.026,1.075,0.406,1.844,-0.594
I (296717) gaga.wake: [A],295894,1.082,0.082,0.019,0.026,1.082,0.625,1.719,0.344
I (296728) gaga.wake: [A],295905,1.077,0.077,0.021,0.028,1.077,0.625,0.344,-0.656
I (296739) gaga.wake: [A],295916,1.080,0.080,0.019,0.029,1.080,0.469,1.375,-0.562
I (296750) gaga.wake: [A],295927,1.076,0.076,0.020,0.027,1.075,0.250,1.719,-0.250
I (296761) gaga.wake: [A],295938,1.076,0.076,0.020,0.027,1.076,0.562,1.406,0.062
I (296772) gaga.wake: [A],295949,1.078,0.078,0.020,0.027,1.078,0.812,1.219,0.250
I (296783) gaga.wake: [A],295960,1.078,0.078,0.020,0.028,1.078,0.688,1.688,-0.281
I (296794) gaga.wake: [A],295971,1.078,0.078,0.019,0.026,1.078,0.656,1.188,-0.250
I (296805) gaga.wake: [A],295982,1.079,0.079,0.019,0.025,1.079,0.469,1.906,-0.156
I (296816) gaga.wake: [A],295993,1.079,0.079,0.020,0.029,1.078,0.750,0.969,-0.500
I (296827) gaga.wake: [A],296004,1.080,0.080,0.021,0.026,1.080,0.781,0.844,-0.062
I (296838) gaga.wake: [A],296015,1.079,0.079,0.018,0.027,1.078,0.281,1.406,-0.250
I (296849) gaga.wake: [A],296026,1.082,0.082,0.021,0.027,1.081,0.281,1.281,-0.406
I (296860) gaga.wake: [A],296037,1.076,0.076,0.019,0.028,1.076,0.562,1.156,-0.094
I (296871) gaga.wake: [A],296048,1.079,0.079,0.021,0.026,1.079,0.219,1.062,-0.281
I (296882) gaga.wake: [A],296059,1.076,0.076,0.019,0.028,1.075,0.750,1.656,-0.188
I (296893) gaga.wake: [A],296070,1.079,0.079,0.022,0.029,1.079,0.219,1.344,-0.219
I (296904) gaga.wake: [A],296081,1.081,0.081,0.021,0.028,1.080,0.750,1.000,-0.281
I (296915) gaga.wake: [A],296092,1.077,0.077,0.021,0.025,1.077,0.500,1.094,-0.344
I (296926) gaga.wake: [A],296103,1.078,0.078,0.021,0.026,1.078,0.500,1.281,-0.094
I (296937) gaga.wake: [A],296114,1.077,0.077,0.022,0.029,1.077,0.438,1.469,-0.531
I (296948) gaga.wake: [A],296125,1.081,0.081,0.019,0.026,1.080,0.656,1.875,-0.375
I (296959) gaga.wake: [A],296136,1.074,0.074,0.019,0.026,1.074,0.656,1.156,-0.281
I (296970) gaga.wake: [A],296147,1.081,0.081,0.020,0.026,1.080,0.156,1.531,-0.906
I (296981) gaga.wake: [A],296158,1.081,0.081,0.022,0.027,1.080,1.000,1.156,-0.094
I (296992) gaga.wake: [A],296169,1.075,0.075,0.019,0.027,1.075,1.000,1.156,-0.344
I (297003) gaga.wake: [A],296180,1.079,0.079,0.021,0.026,1.078,0.406,1.469,-0.062
